week_of,platform,status,topic,caption,media_needed,posted_date,notes
2026-08-17,All,drafted,"P6 National Exam results","Every single P6 graduate earned Division A this year, all 44 of them. Our Primary 6 class averaged 90.4% on Rwanda's National Examination, and every graduate has a place at a top boarding secondary school for next year. #CrimsonAcademy #Kagina #Rwanda",src/assets/IMG_0640.JPEG,,"Same photo already used for this story on the News page — see src/data/news.ts."
2026-08-17,TikTok,drafted,"P6 National Exam results","44 out of 44. Every P6 graduate at Crimson Academy earned Division A this year 🎓🔥 #Rwanda #Kagina #EducationMatters",src/assets/IMG_0640.JPEG,,"Shorter/punchier cut of the same story for TikTok's format."
2026-08-24,All,drafted,"Nursery graduation","150 of our youngest learners graduated from nursery this year, and they were the strongest-performing classes in the whole school, averaging 75-88% across the year. Big steps for small kids. 🎉",src/assets/nursery-graduation-2026.jpg,,
2026-08-31,All,drafted,"Monthly village outreach","Every month, our Primary 6 students walk into the village to visit neighbouring families, bringing encouragement and essential provisions. It's where academic work and character formation meet.",src/assets/community-service.jpg,,
2026-08-31,TikTok,idea,"Monthly village outreach","Short video needed: P6 students walking to a family visit, arriving, handing over provisions. Nothing in the repo fits a video-first cut of this story yet.","new video needed",,"No existing clip covers this story specifically - the 5 videos in public/media are classroom/mealtime/path/arts/visit, not this outreach specifically. Check if 'A visit' clip (img_4937.mp4) is close enough before shooting new footage."
2026-09-07,All,drafted,"Term 1 begins Sept 9","Term 1 begins September 9 for every division, nursery through Primary 6! If you're considering enrolling your child for the new year, now's the time to reach out.",src/assets/sl-hero-team.webp,,"Ties to the real calendar date in src/data/news.ts (upcomingDates). Re-verify this date is still correct closer to posting - the calendar in that file is explicitly flagged as needing yearly refresh."
2026-09-14,All,drafted,"Student life activities resume","Term 1 is underway, and by four o'clock our courts, stage, and clubs are just as full as our classrooms. From karate belts and choir practice to football on the pitch and chess at the table, every child from Primary 2 up has a place to go after the bell — no fees, no trials, just character built one afternoon at a time.",src/assets/sl-hero-team.webp,,"Grounded in src/pages/StudentLife.tsx: karate (instructor Eugene), choir/music (Elizabeth and Frederic), football (coach Robert), basketball, debate, chess, dance, and after-school coaching. Same hero photo already used on the Student Life page."
2026-09-14,TikTok,drafted,"Student life activities resume","School's back, and so is everything after the bell 🥋⚽🎶 8 free activities, every kid from P2 up welcome. #CrimsonAcademy #Kagina #Rwanda",src/assets/sl-hero-team.webp,,"Shorter/punchier cut of the same story for TikTok's format."
2026-09-21,All,drafted,"First Term 1 assessment","Term 1's first assessment is September 27 — one of three assessments every class sits each term at Crimson Academy. Our teachers watch each child three times a term, in every subject, so we know exactly where they're growing and where they need extra support. It's the same rigor that took our last P6 class to 100% Division A.",src/assets/class.jpeg,,"Grounded in src/data/news.ts (terms, upcomingDates) and src/pages/Academics.tsx (Head Mistress Marie Claire's quote: 'three times a term, in every subject'). Same photo already used as the Academics page hero. Re-verify the Sept 27 date before posting - upcomingDates in news.ts is explicitly flagged as still carrying the unrefreshed 2024-2025 calendar."
2026-09-21,TikTok,drafted,"First Term 1 assessment","First assessment of the term is Sept 27 📝 Three a term, every subject, every child watched closely. #CrimsonAcademy #Kagina #Rwanda","new video needed",,"Shorter/punchier cut of the same story for TikTok's format. No existing clip shows an assessment moment specifically - the five videos in public/media are classroom/mealtime/path/arts/visit, none captured during testing."
2026-09-28,All,drafted,"Crimson for Life: livestock & micro-loan programme","Crimson doesn't stop at the classroom door. Alongside our 780 students in Kagina, we run micro-loan and livestock programmes for local families — a goat, a small loan, a way to earn a living beyond the clay pit that many Potter families have worked for generations. A gift to Crimson Academy doesn't just land in Kagina, it circulates there. #CrimsonAcademy #Kagina #Rwanda",src/assets/cfl-livestock.webp,,"Grounded in src/pages/CrimsonForLife.tsx ('Beyond the school gate' section: micro-loan and livestock programmes, Potters families working clay by hand). Same photo already used on that page and in the News gallery (src/data/news.ts, galLivestock)."
2026-09-28,TikTok,drafted,"Crimson for Life: livestock & micro-loan programme","A goat. A small loan. A way out of the clay pit 🐐 Crimson Academy's micro-loan and livestock programme is changing what's possible for families in Kagina. #CrimsonAcademy #Kagina #Rwanda",src/assets/cfl-livestock.webp,,"Shorter/punchier cut of the same story for TikTok's format."
